Change;Excluded;Original;en;it
;;"The Omega Tower elevator is sentient somehow and
can take likings to certain people who 
prove their worth.";"The Omega Tower elevator is sentient somehow and
can take likings to certain people who 
prove their worth.";"L'ascensore della Torre Omega è in qualche modo senziente e
può provare simpatia per certe persone che
dimostrano il loro valore."
;;"It will refuse to move to a floor that your
Party has not reached yet, and sometimes if he
judges you worthy enough will show only for you";"It will refuse to move to a floor that your
Party has not reached yet, and sometimes if he
judges you worthy enough will show only for you";"Si rifiuterà di passare a un piano che il tuo
Partito non ha ancora raggiunto, e a volte, se
ti giudica abbastanza degno, si presenterà solo per te."
;;"""Phantom floors"" that exist only for a brief time.
By studying it we recently discovered a hidden
inheritance system: \c[1]Worthiness\c[0] can";"""Phantom floors"" that exist only for a brief time.
By studying it we recently discovered a hidden
inheritance system: \c[1]Worthiness\c[0] can";"""Piani fantasma"" che esistono solo per un breve periodo.
Studiandoli abbiamo recentemente scoperto un sistema di ereditarietà
nascosto: \c[1]Valore\c[0] può"
;;"be inherithed via a legally binding contract.
This is why back on the train you used to
get there we made you sign so many papers:";"be inherithed via a legally binding contract.
This is why back on the train you used to
get there we made you sign so many papers:";"essere ereditato tramite un contratto legalmente vincolante.
Ecco perché sul treno che usavi per
arrivare lì ti abbiamo fatto firmare così tanti documenti:"
;;"we already choosen your successor that will take
your place if you happen to die in the Tower.";"we already choosen your successor that will take
your place if you happen to die in the Tower.";"Abbiamo già scelto il tuo successore che prenderà
il tuo posto se dovessi morire nella Torre."
;;"Other than /c[1]Worthiness/c[0], also /c[2]Stocks/c[0]
and /c[3]Real estate/c[0] will be inherithed by
your successor, to regain your loot he must find
your body and desacrate the grave,";"Other than /c[1]Worthiness/c[0], also /c[2]Stocks/c[0]
and /c[3]Real estate/c[0] will be inherithed by
your successor, to regain your loot he must find
your body and desacrate the grave,";"Oltre a /c[1]Valore/c[0], anche /c[2]Azioni/c[0]
e /c[3]Beni immobili/c[0] saranno ereditati dal
tuo successore, che per riconquistare il tuo bottino dovrà trovare
il tuo corpo e profanare la tomba,"
;;"Pretty buro-metal but that is just how things
works in the Tower under the Archive Foundation.";"Pretty buro-metal but that is just how things
works in the Tower under the Archive Foundation.";"Un po' buro-metallico, ma è così che funzionano
le cose nella Torre, sotto la Fondazione Archivio."
;;"Before we took control it was pure anarchy, a
simulacrum of the Tower of Babel.";"Before we took control it was pure anarchy, a
simulacrum of the Tower of Babel.";"Prima che prendessimo il controllo, era pura anarchia,
un simulacro della Torre di Babele."
;;"The difference now is that we are using this tower
to study the decaying corpse of God.";"The difference now is that we are using this tower
to study the decaying corpse of God.";"La differenza ora è che stiamo usando questa torre
per studiare il cadavere in decomposizione di Dio."
;;"Yes it's true, not a conspiracy theory:
The Abramitic God was murdered last year in a 
elaborate ritual named ""The Solomon Ritual""";"Yes it's true, not a conspiracy theory:
The Abramitic God was murdered last year in a 
elaborate ritual named ""The Solomon Ritual""";"Sì, è vero, non è una teoria del complotto:
Il dio abramitico è stato assassinato l'anno scorso in un
elaborato rituale chiamato ""Rituale di Salomone""."
;;"It was conducted by the 3 pillars of the 
Mages Guild: Lady Margareth, Sir Alesteir 
Crowley and The Father.";"It was conducted by the 3 pillars of the 
Mages Guild: Lady Margareth, Sir Alesteir 
Crowley and The Father.";"Fu condotto dai tre pilastri della
Gilda dei Maghi: Lady Margareth, Sir Alesteir
Crowley e il Padre."
;;"They used a young wannabe witch as a living
teonuclear weapon: they turned her memories into
a colossal God slaying mecha of pure light that";"They used a young wannabe witch as a living
teonuclear weapon: they turned her memories into
a colossal God slaying mecha of pure light that";"Hanno usato una giovane aspirante strega come arma
nucleare vivente: hanno trasformato i suoi ricordi in
un colossale mecha di pura luce che uccide gli dei e"
;;"pierced God's heart and disintegrated his soul
in quadrillions of pieces, leaving his bloated
body to orbit around Earth.";"pierced God's heart and disintegrated his soul
in quadrillions of pieces, leaving his bloated
body to orbit around Earth.";"trafisse il cuore di Dio e disintegrò la sua anima
in milioni di miliardi di pezzi, lasciando il suo corpo gonfio
in orbita attorno alla Terra."
;;"It also flattened my hometown in the process but
that's another story.";"It also flattened my hometown in the process but
that's another story.";"Nel frattempo ha raso al suolo anche la mia città natale, ma
questa è un'altra storia."
;;"We could just launch a space shuttle filled with
scientists and theologists to land on God and
start taking samples...";"We could just launch a space shuttle filled with
scientists and theologists to land on God and
start taking samples...";"Potremmo semplicemente lanciare uno space shuttle pieno di
scienziati e teologi per atterrare su Dio e
iniziare a prelevare campioni..."
;;"But since the Y2K event, 
space travel is impracticable.";"But since the Y2K event, 
space travel is impracticable.";"Ma dopo l'evento Y2K,
i viaggi spaziali sono diventati impraticabili."
;;"It's the Kessler Syndrome: a chain reaction
first started by the ENVISAT satellite.";"It's the Kessler Syndrome: a chain reaction
first started by the ENVISAT satellite.";"È la sindrome di Kessler: una reazione a catena
avviata per la prima volta dal satellite ENVISAT."
;;"Everything we put in orbit get shredded by
debris and get added to the chain reaction.";"Everything we put in orbit get shredded by
debris and get added to the chain reaction.";"Tutto ciò che mettiamo in orbita viene sminuzzato
dai detriti e si aggiunge alla reazione a catena."
;;"Sometimes also the cadaver of God get
shredded by the debris and they fall on Earth,
looking like mesmerizing comets.";"Sometimes also the cadaver of God get
shredded by the debris and they fall on Earth,
looking like mesmerizing comets.";"A volte anche il cadavere di Dio viene
sminuzzato dai detriti e cade sulla Terra,
come comete ipnotizzanti."
;;NEVER LOOK AT THEM DIRECTLY!;NEVER LOOK AT THEM DIRECTLY!;NON GUARDARLI MAI DIRETTAMENTE!
;;"How do i know about all these things?
This is the Archive Foundation. ";"How do i know about all these things?
This is the Archive Foundation. ";"Come faccio a sapere tutto questo?
Questa è la Fondazione Archivio."
;;"We collect everything, even state secrets
and liberate the informations.";"We collect everything, even state secrets
and liberate the informations.";"Raccogliamo tutto, anche i segreti di Stato,
e liberiamo le informazioni."
;;"It's ok, is not really your problem because the
Archive Foundation will take care of your porfolio
after you die. ";"It's ok, is not really your problem because the
Archive Foundation will take care of your porfolio
after you die. ";"Va bene, non è un tuo problema, perché
la Fondazione Archivio si prenderà cura del tuo portafoglio
dopo la tua morte."
;;"You signed away basically all
your inheritance rights do you remember?";"You signed away basically all
your inheritance rights do you remember?";"Hai ceduto praticamente tutti
i tuoi diritti ereditari, ricordi?"
;;"\C[1]Skills\C[0] are grouped in two 
main categories: \C[2]Abilities\C[0] and \C[3]Magic\C[0]";"\C[1]Skills\C[0] are grouped in two 
main categories: \C[2]Abilities\C[0] and \C[3]Magic\C[0]";Le abilità sono raggruppate in due categorie principali: abilità e magia.
;;"\C[1]Abilities\C[0] uses AP that are
gained on each turn based on 
your \C[3]PSI\C[0] stat";"\C[1]Abilities\C[0] uses AP that are
gained on each turn based on 
your \C[3]PSI\C[0] stat";"\C[1]Abilità\C[0] utilizza PA che vengono
ottenuti a ogni turno in base
alla tua statistica \C[3]PSI\C[0]"
;;"\C[2]Magic\C[0] uses MP, there are
also hybrid abilities that uses
both MP and AP.";"\C[2]Magic\C[0] uses MP, there are
also hybrid abilities that uses
both MP and AP.";"\C[2]Magia\C[0] usa PM, ci sono
anche abilità ibride che usano
sia PM che AP."
;;"Use the \I[38]\C[1]Thinker\C[0] option in
the menu to start crafting and
disassembling items.";"Use the \I[38]\C[1]Thinker\C[0] option in
the menu to start crafting and
disassembling items.";"Utilizza l'opzione \I[38]\C[1]Pensatore\C[0] nel
menu per iniziare a creare e
smontare gli oggetti."
;;"Every item needs a certain amount
of materials to be crafted.
The rarer the item the higher the amount
of materials needed.";"Every item needs a certain amount
of materials to be crafted.
The rarer the item the higher the amount
of materials needed.";"Ogni oggetto necessita di una certa quantità
di materiali per essere creato.
Più raro è l'oggetto, maggiore è la quantità
di materiali necessari."
;;"You can also disassemble items you
no longer use to obtain some materials.";"You can also disassemble items you
no longer use to obtain some materials.";"Puoi anche smontare gli oggetti che
non usi più per ottenere materiali."
;;"To collect materials slay monsters and
examine every nook and cranny of the world!";"To collect materials slay monsters and
examine every nook and cranny of the world!";"Per raccogliere materiali, uccidere mostri ed
esaminare ogni angolo del mondo!"
;;"Use the\C[1]Computer\C[0] to
access the Hypernet, view the 
Stock market and many other 
marvelous things.";"Use the\C[1]Computer\C[0] to
access the Hypernet, view the 
Stock market and many other 
marvelous things.";"Usa il Computer C[1] per
accedere all'Hypernet, visualizzare
la Borsa e tante altre
cose meravigliose."
;;"When investing remember this: \C[1]OIL\C[0]
is a extremely volatile stock,
\C[2]SOUL\C[0] is more stable but the value
can change based on current news.";"When investing remember this: \C[1]OIL\C[0]
is a extremely volatile stock,
\C[2]SOUL\C[0] is more stable but the value
can change based on current news.";"Quando investi, ricorda questo: \C[1]OIL\C[0]
è un titolo estremamente volatile,
\C[2]SOUL\C[0] è più stabile, ma il suo valore
può variare in base alle notizie attuali."
;;"\C[2]SOUL\C[0] price directly influence
the tariff on imported goods ordered
online.";"\C[2]SOUL\C[0] price directly influence
the tariff on imported goods ordered
online.";"\C[2]SOUL\C[0] il prezzo influenza direttamente
la tariffa sui beni importati ordinati
online."
;;"The Omega Tower is designed by the
European Commission as a neutral zone
between the Hyperpowers and we get so
many combined tariffs!";"The Omega Tower is designed by the
European Commission as a neutral zone
between the Hyperpowers and we get so
many combined tariffs!";"La Torre Omega è stata progettata dalla
Commissione Europea come zona neutrale
tra le Superpotenze e riceviamo così tante
tariffe combinate!"
;;"Back to the explanation: when you have
ammassed a large amount of capital
you can try investing in \c[3]Real estate\c[0].";"Back to the explanation: when you have
ammassed a large amount of capital
you can try investing in \c[3]Real estate\c[0].";"Torniamo alla spiegazione: quando avrai
accumulato un grosso capitale
potrai provare a investire in immobili."
;;"Buy properties around Europe and get
tenants that will pay a daily rent.
Price and attractiveness is influenced
by local news on the city you bought property.";"Buy properties around Europe and get
tenants that will pay a daily rent.
Price and attractiveness is influenced
by local news on the city you bought property.";"Acquista immobili in tutta Europa e trova
inquilini disposti a pagare un affitto giornaliero.
Il prezzo e l'attrattività sono influenzati
dalle notizie locali sulla città in cui hai acquistato l'immobile."
;;"During battle you can sever or destroy
the limbs of a enemy, affecting their stats.";"During battle you can sever or destroy
the limbs of a enemy, affecting their stats.";"Durante la battaglia puoi tagliare o distruggere
gli arti di un nemico, influenzandone le statistiche."
;;"If you sever a vital part of a enemy
during battle it will die in one hit.";"If you sever a vital part of a enemy
during battle it will die in one hit.";"Se tagli una parte vitale di un nemico
durante una battaglia, morirà con un colpo solo."
;;"Some enemies have multiple vital parts, such
as Hydras and double headed enemies.";"Some enemies have multiple vital parts, such
as Hydras and double headed enemies.";"Alcuni nemici hanno più parti vitali, come
le Idre e i nemici a due teste."
;;"You are also composed of squishy organs!
Enemy attacks can break your bones and
puncture your internal organs.";"You are also composed of squishy organs!
Enemy attacks can break your bones and
puncture your internal organs.";"Anche i tuoi organi sono mollicci!
Gli attacchi nemici possono romperti le ossa e
perforarti gli organi interni."
;;"Check the \I[34]\C[1]Health Status\C[0] option
in menu do to a self check of you all body parts.";"Check the \I[34]\C[1]Health Status\C[0] option
in menu do to a self check of you all body parts.";"Seleziona l'opzione \I[34]\C[1]Stato di salute\C[0]
nel menu per effettuare un autocontrollo di tutte le parti del tuo corpo."
